NUM_THREADS,TICKS_PER_SLOT,RECV_BATCH_MAX_CPU,ITER_BATCH_SIZE,HASHES_PER_SECOND,TICKS_PER_SECOND,AVERAGE_TPS_BENCH1,AVERAGE_DROPRATE_BENCH1,REAL_TIME_RATE_BENCH1,USER_TIME_RATE_BENCH1,SYS_TIME_RATE_BENCH1
3.0,70.0,1056.0,1120.0,1996970.0,152.0,27.013834,0.0,60014,429,570
3.0,65.0,871.0,989.0,2190909.0,138.0,29.377615,0.0,60593,391,491
3.0,67.0,929.0,856.0,2227273.0,163.0,27.494085,0.0,60657,521,708
3.0,67.0,947.0,1105.0,2239394.0,142.0,27.493326,0.0,59604,455,631
3.0,63.0,1011.0,1071.0,1948485.0,173.0,23.013506,0.0,64120,396,591
3.0,57.0,1035.0,986.0,2263636.0,136.0,28.649918,0.0,60196,480,655
3.0,53.0,986.0,1135.0,2063636.0,153.0,27.490704,0.0,60366,446,658
3.0,72.0,1077.0,1053.0,2215152.0,170.0,28.310701,0.0,60095,482,635
3.0,62.0,877.0,850.0,2166667.0,143.0,28.856451,0.0,60860,474,680
3.0,63.0,1059.0,1102.0,1918182.0,167.0,27.547504,0.0,59470,495,665
3.0,56.0,862.0,1108.0,1912121.0,152.0,27.540167,0.0,59760,433,688
3.0,54.0,962.0,1111.0,2039394.0,145.0,27.036053,0.0,69904,510,820
3.0,55.0,1068.0,968.0,1845455.0,158.0,24.366724,0.0,57595,469,640
3.0,73.0,1108.0,926.0,1815152.0,169.0,27.39609,0.0,60305,472,655
3.0,67.0,1065.0,905.0,2293939.0,144.0,27.511028,0.0,59790,498,676
3.0,68.0,1141.0,883.0,2275758.0,181.0,29.94059,0.0,58772,405,602
3.0,56.0,1026.0,1008.0,1754545.0,183.0,27.568306,0.0,59036,477,634
3.0,71.0,1041.0,959.0,2075758.0,177.0,26.983957,0.0,60894,468,697
3.0,60.0,1008.0,1020.0,2009091.0,174.0,27.555397,0.0,58680,460,605
3.0,60.0,1098.0,886.0,2233333.0,164.0,27.75078,0.0,59108,441,639
3.0,60.0,995.0,953.0,2209091.0,172.0,27.215797,0.0,61212,468,651
3.0,55.0,886.0,977.0,1851515.0,161.0,25.463472,0.0,60555,500,649
3.0,69.0,1105.0,1005.0,2196970.0,140.0,25.949718,0.0,61069,534,615
3.0,59.0,1150.0,1065.0,2130303.0,164.0,25.074825,0.0,59370,394,752
3.0,64.0,905.0,1141.0,2021212.0,174.0,21.950497,0.04,59837,482,603
4.0,53.0,856.0,1059.0,2142424.0,136.0,27.189402,0.0,59215,471,658
4.0,60.0,980.0,932.0,2033333.0,145.0,28.034853,0.0,61455,475,658
4.0,69.0,977.0,1132.0,1700000.0,160.0,28.682346,0.0,59512,476,640
4.0,72.0,1126.0,1050.0,2027273.0,141.0,24.383348,0.0,62617,478,608
4.0,64.0,1002.0,1138.0,1893939.0,179.0,28.013672,0.0,58222,471,616
4.0,58.0,1089.0,1017.0,1718182.0,166.0,23.803795,0.0,58027,394,609
4.0,61.0,1117.0,923.0,1742424.0,140.0,27.552126,0.0,59592,488,577
4.0,66.0,956.0,1083.0,1778788.0,172.0,27.71157,0.0,61004,502,657
4.0,71.0,1092.0,1080.0,2136364.0,152.0,28.12789,0.0,59343,481,614
4.0,67.0,880.0,1062.0,1984848.0,163.0,27.539015,0.0,67632,485,703
4.0,61.0,889.0,1129.0,1730303.0,183.0,18.530289,0.07,58256,474,658
4.0,54.0,1032.0,1126.0,2160606.0,155.0,27.572855,0.0,58606,435,619
4.0,68.0,926.0,1086.0,1748485.0,139.0,29.241888,0.0,59814,432,712
4.0,64.0,1147.0,1089.0,2287879.0,178.0,27.491982,0.0,59655,450,597
4.0,68.0,1083.0,1044.0,1906061.0,171.0,27.223473,0.0,60493,498,647
4.0,72.0,1050.0,1056.0,1821212.0,151.0,28.305174,0.0,61711,470,653
4.0,57.0,1062.0,1002.0,1881818.0,171.0,27.479656,0.0,71599,588,807
4.0,65.0,1080.0,962.0,1954545.0,176.0,26.957573,0.0,59281,430,666
4.0,56.0,983.0,1147.0,1900000.0,173.0,27.564932,0.0,60225,490,664
4.0,65.0,1132.0,974.0,2172727.0,182.0,28.18206,0.0,60439,491,643
4.0,68.0,865.0,1098.0,2124242.0,155.0,27.574966,0.0,60658,502,660
4.0,69.0,1047.0,877.0,1930303.0,162.0,23.645746,0.0,56830,618,675
4.0,62.0,1102.0,1092.0,1942424.0,150.0,27.274168,0.0,59591,530,646
4.0,55.0,914.0,1035.0,1887879.0,154.0,24.350878,0.0,59014,452,604
4.0,70.0,1029.0,971.0,1796970.0,159.0,27.554522,0.0,60618,488,689
4.0,56.0,971.0,1029.0,2203030.0,161.0,26.309164,0.0,59128,430,659
4.0,71.0,1086.0,965.0,2112121.0,166.0,27.395233,0.0,61538,459,594
4.0,64.0,898.0,908.0,2057576.0,170.0,27.56849,0.0,59662,474,683
4.0,57.0,953.0,1123.0,2069697.0,158.0,27.39135,0.0,59721,465,644
4.0,58.0,1135.0,902.0,1875758.0,165.0,27.56979,0.0,60232,431,689
4.0,61.0,868.0,1026.0,1827273.0,138.0,27.483694,0.0,62255,512,687
4.0,70.0,1017.0,853.0,2100000.0,147.0,27.974407,0.0,61017,426,610
4.0,61.0,920.0,1038.0,2045455.0,144.0,30.001328,0.0,59636,507,623
4.0,69.0,938.0,998.0,2118182.0,149.0,27.597437,0.0,60053,522,663
4.0,54.0,950.0,944.0,2178788.0,169.0,28.36357,0.0,59858,514,689
4.0,58.0,917.0,956.0,2093939.0,149.0,35.02777,0.0,60343,491,766
4.0,62.0,853.0,911.0,1712121.0,142.0,29.994768,0.0,59096,455,606
4.0,58.0,1074.0,914.0,2251515.0,181.0,27.5494,0.0,60751,472,643
4.0,72.0,968.0,874.0,1839394.0,165.0,28.069054,0.0,61900,428,633
4.0,65.0,1111.0,871.0,2269697.0,137.0,29.786867,0.0,60499,457,571
4.0,59.0,1120.0,938.0,2015152.0,157.0,28.085526,0.0,57320,500,638
4.0,55.0,908.0,920.0,1863636.0,168.0,28.762934,0.0,59108,459,715
4.0,60.0,1044.0,917.0,2221212.0,148.0,24.464317,0.0,59360,436,575
4.0,65.0,883.0,1077.0,2257576.0,180.0,26.258598,0.0,60268,419,574
4.0,68.0,911.0,983.0,2281818.0,154.0,24.449894,0.0,58638,371,589
4.0,62.0,998.0,862.0,2106061.0,141.0,28.002668,0.0,61774,440,605
4.0,54.0,874.0,950.0,1972727.0,179.0,27.45963,0.0,59186,491,542
4.0,57.0,1023.0,868.0,2300000.0,160.0,24.426935,0.0,59316,404,530
4.0,66.0,1020.0,1068.0,1966667.0,175.0,27.463552,0.0,59915,432,561
4.0,73.0,1144.0,941.0,1857576.0,184.0,27.560648,0.0,59739,426,497
5.0,62.0,1095.0,859.0,1978788.0,146.0,24.410677,0.0,58168,385,594
5.0,67.0,850.0,935.0,1869697.0,156.0,24.407213,0.0,58925,517,665
5.0,57.0,895.0,995.0,1803030.0,180.0,27.540653,0.0,59039,479,603
5.0,71.0,1114.0,1023.0,2148485.0,159.0,27.547329,0.0,59263,461,619
5.0,66.0,1005.0,1047.0,1790909.0,148.0,27.048315,0.0,60853,436,660
5.0,66.0,902.0,1114.0,1766667.0,156.0,30.525475,0.0,62620,447,640
5.0,66.0,992.0,980.0,1990909.0,146.0,27.806545,0.0,60734,449,608
5.0,55.0,959.0,1041.0,1924242.0,143.0,27.479313,0.0,60707,481,647
5.0,70.0,974.0,992.0,2245455.0,137.0,29.976542,0.0,60504,435,613
5.0,58.0,859.0,1117.0,1724242.0,139.0,28.098013,0.0,58599,458,675
5.0,59.0,935.0,1095.0,1706061.0,176.0,27.52629,0.0,60781,452,687
5.0,53.0,892.0,1074.0,2184848.0,151.0,27.413536,0.0,61622,509,663
5.0,71.0,932.0,1032.0,2154545.0,162.0,27.056463,0.0,61455,436,679
5.0,72.0,1038.0,889.0,1960606.0,175.0,28.251278,0.0,66142,443,609
5.0,70.0,1138.0,892.0,2087879.0,168.0,27.119656,0.0,60682,495,624
5.0,63.0,941.0,898.0,2081818.0,153.0,29.734772,0.0,70420,542,763
5.0,64.0,1123.0,1150.0,1833333.0,177.0,26.541811,0.0,60459,421,584
5.0,54.0,923.0,947.0,1784848.0,150.0,27.94623,0.0,60323,469,639
5.0,73.0,1014.0,865.0,1936364.0,167.0,27.715767,0.0,59941,496,743
5.0,69.0,965.0,1014.0,1736364.0,184.0,28.6388,0.0,59339,440,660
5.0,63.0,989.0,929.0,2051515.0,147.0,24.442295,0.0,58597,471,538
5.0,59.0,1053.0,895.0,1760606.0,178.0,29.876831,0.0,56700,450,622
5.0,59.0,1071.0,1144.0,1772727.0,157.0,27.427223,0.0,59993,485,634
5.0,61.0,1129.0,1011.0,1809091.0,182.0,31.683458,0.0,59422,454,606
5.0,56.0,944.0,880.0,2003030.0,168.0,27.149336,0.0,60559,531,644
